text
"b""#Alabama lawmakers have passed the nation's most restrictive ban on #abortion, with no exception for rape or incest\xe2\x80\xa6 https://t.co/KdJBgbuAVH"""
"b'""#Alabama Lawmakers Vote to Effectively Ban Abortion in the State"" https://t.co/gNCUWcFtdZ #Abortion #SafeAbortion'"
"b""#Alabama Senate passes nation's most restrictive #abortion ban - May 14 @ 11:30 PM ET  https://t.co/fdjxh9EwpH"""
"b""#Alabama, I'm ashamed of you. How can you possibly let #men only decide when a woman is allowed to get an #abortion\xe2\x80\xa6 https://t.co/2tqwKkuS3x"""
"b""#Alabama's got the right idea! The #babykillers should defend their #Bloodlust in court. Millions of new citizens a\xe2\x80\xa6 https://t.co/sFtp4bIiMX"""
"b""#Judge rescinds ruling against 'physicians-only' #abortion #law - May 14 @ 5:15 PM ET  https://t.co/Tna9CnDudP"""
"b""25 men \xe2\x80\x93 all Republicans \xe2\x80\x93 just voted to ban #abortion in Alabama. Men should not be voting on women's health issue\xe2\x80\xa6 https://t.co/zvi5ZnvkX6"""
"b""Alabama has passed the most restrictive #abortion ban in the country. I grew up in Alabama, so this doesn't shock m\xe2\x80\xa6 https://t.co/yiWeFC13eI"""
"b""And there are still some in this land who believe #Women's #ReproductiveRights!; Judge rescinds his own order allow\xe2\x80\xa6 https://t.co/uIDRlFc0Wb"""
"b'""Because if we\xe2\x80\x99re going to make laws around biology \xe2\x80\x94 about whether tampons should be taxed, or whether #abortion s\xe2\x80\xa6 https://t.co/PmgLAaaHs6'"
"b""Don't you just love when 25 white men \xe2\x80\x93 all #Republicans \xe2\x80\x93 vote to deny women bodily autonomy by banning #abortion\xe2\x80\xa6 https://t.co/YUaclNivNg"""
"b""Even as civil rights groups and organizations rush to challenge #Alabama's outright #abortion ban, why is it so dif\xe2\x80\xa6 https://t.co/zgZZNOUtYR"""
"b""https://t.co/HQBWVmXa5e I'm appalled to see #Alabama lawmakers pass this horrific #abortion bill. Welcome to\xe2\x80\xa6 https://t.co/SU9agmejWL"""
"b""If can't read the actual text, NPR gives a brief explanation about the law. One point is that women are not crimina\xe2\x80\xa6 https://t.co/m2G4yJHcuy"""
"b""If this couple would've walked into an abortion clinic a couple weeks earlier, they would be celebrated for their '\xe2\x80\xa6 https://t.co/tQuZOavqZS"""
"b""'It goes after Roe directly': #Alabama's #abortion bill heads to state senate\n\nhttps://t.co/lpi52OppHd"""
"b""'Meet' #Faith2Action, the hardline anti-abortion group led by Janet Porter.\n\nAll #HeartbeatBills recently passed in\xe2\x80\xa6 https://t.co/AzbS7YB0U8"""
"b""Men. Ain't. Shit.\n\n#Alabama #Georgia #America #republican #WomensRights #abortion #ProChoice \n\nhttps://t.co/xeN82Na2Yu"""
"b""My first thought: 'Handmaids Tale' season 3 is launching with an audacious real world marketing stunt. \n\nTurns out\xe2\x80\xa6 https://t.co/1xNsX5vRPj"""
"b""On the same day #Alabama's Leg voted to ban virtually #abortion w/ no exceptions for rape or incest, the #Maine Leg\xe2\x80\xa6 https://t.co/HsweGxdn2R"""
"b""RT @bryantwatson: Men. Ain't. Shit.\n\n#Alabama #Georgia #America #republican #WomensRights #abortion #ProChoice \n\nhttps://t.co/xeN82Na2Yu"""
"b""RT @DanAndros: If this couple would've walked into an abortion clinic a couple weeks earlier, they would be celebrated for their 'choice' #\xe2\x80\xa6"""
"b""RT @Dhammikax: 'Meet' #Faith2Action, the hardline anti-abortion group led by Janet Porter.\n\nAll #HeartbeatBills recently passed in US state\xe2\x80\xa6"""
"b""RT @Dhammikax: There is no such thing as a ban on #abortion. \n\nYou can only ban safe &amp; regulated #abortion care.\nWhen you do, it's the vuln\xe2\x80\xa6"""
"b""RT @Dhammikax: There is no such thing as a ban on #abortion. \n\nYou can only ban safe &amp; regulated #abortion care.\nWhen you do, it's the vuln\xe2\x80\xa6"""
"b""RT @Dhammikax: There is no such thing as a ban on #abortion. \n\nYou can only ban safe &amp; regulated #abortion care.\nWhen you do, it's the vuln\xe2\x80\xa6"""
"b""RT @DrMelOB: The deep South strikes again. Possible set-up to go all the way to #SCOTUS, with the aim of overturning Roe v Wade. Let's hope\xe2\x80\xa6"""
"b""RT @DrMelOB: The deep South strikes again. Possible set-up to go all the way to #SCOTUS, with the aim of overturning Roe v Wade. Let's hope\xe2\x80\xa6"""
"b""RT @katherine_lee1: On the same day #Alabama's Leg voted to ban virtually #abortion w/ no exceptions for rape or incest, the #Maine Leg vot\xe2\x80\xa6"""
"b""RT @katherine_lee1: On the same day #Alabama's Leg voted to ban virtually #abortion w/ no exceptions for rape or incest, the #Maine Leg vot\xe2\x80\xa6"""
"b""RT @katherine_lee1: On the same day #Alabama's Leg voted to ban virtually #abortion w/ no exceptions for rape or incest, the #Maine Leg vot\xe2\x80\xa6"""
"b""RT @katherine_lee1: On the same day #Alabama's Leg voted to ban virtually #abortion w/ no exceptions for rape or incest, the #Maine Leg vot\xe2\x80\xa6"""
"b""RT @keithgrimes: My first thought: 'Handmaids Tale' season 3 is launching with an audacious real world marketing stunt. \n\nTurns out it's no\xe2\x80\xa6"""
"b""RT @keithgrimes: My first thought: 'Handmaids Tale' season 3 is launching with an audacious real world marketing stunt. \n\nTurns out it's no\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
"b""RT @MadisonSiriusXM: There is a racial component to #Alabama's #abortion bill. Say one of these white lawmakers had their wife or daughter\xe2\x80\xa6"""
